# IRS Statistics of Income, Individual Complete Report (Publication 1304),
# Table 3.5, Returns with Modified Taxable Income: Tax Generated, by Size of
# Adjusted Gross Income and by Tax Rate.  Tax years 2022 and 2023.
# https://www.irs.gov/pub/irs-soi/22in35tr.xls
# https://www.irs.gov/pub/irs-soi/23in35tr.xls
# Money amounts are thousands of dollars, as published.
# statutory_rate is the preferential capital-gains rate the income was taxed
# at; niit_rate is 3.8 percent where the AGI class lies at or above the
# section 1411 threshold of $200,000 and zero below it.
# Regenerate with: python scripts/build_capital_gains_data.py
tax_year,agi_class,agi_lower,agi_upper,statutory_rate,niit_rate,returns,income_taxed_at_rate_thousands,tax_generated_thousands
2023,"$1,000,000 under $1,500,000",1000000.0,1500000.0,0.2,0.038,315265,47798794.0,9559761.0
2023,"$1,000,000 under $1,500,000",1000000.0,1500000.0,0.25,0.038,26196,1541769.0,385446.0
2023,"$1,000,000 under $1,500,000",1000000.0,1500000.0,0.28,0.038,1905,229840.0,64355.0
2023,"$1,500,000 under $2,000,000",1500000.0,2000000.0,0.0,0.038,5065,320533.0,0.0
2023,"$1,500,000 under $2,000,000",1500000.0,2000000.0,0.15,0.038,19065,5396715.0,809508.0
2023,"$1,500,000 under $2,000,000",1500000.0,2000000.0,0.2,0.038,130257,35499651.0,7099930.0
2023,"$1,500,000 under $2,000,000",1500000.0,2000000.0,0.25,0.038,13571,961292.0,240325.0
2023,"$1,500,000 under $2,000,000",1500000.0,2000000.0,0.28,0.038,981,136287.0,38160.0
2023,"$2,000,000 under $5,000,000",2000000.0,5000000.0,0.0,0.038,8447,558816.0,0.0
2023,"$2,000,000 under $5,000,000",2000000.0,5000000.0,0.15,0.038,24319,7313207.0,1096982.0
2023,"$2,000,000 under $5,000,000",2000000.0,5000000.0,0.2,0.038,182197,111443613.0,22288723.0
2023,"$2,000,000 under $5,000,000",2000000.0,5000000.0,0.25,0.038,20963,2399900.0,599978.0
2023,"$2,000,000 under $5,000,000",2000000.0,5000000.0,0.28,0.038,1745,421942.0,118144.0
2023,"$5,000,000 under $10,000,000",5000000.0,10000000.0,0.0,0.038,2796,203870.0,0.0
2023,"$5,000,000 under $10,000,000",5000000.0,10000000.0,0.15,0.038,5734,1874361.0,281154.0
2023,"$5,000,000 under $10,000,000",5000000.0,10000000.0,0.2,0.038,45470,84361723.0,16872345.0
2023,"$5,000,000 under $10,000,000",5000000.0,10000000.0,0.25,0.038,6606,1403728.0,350933.0
2023,"$5,000,000 under $10,000,000",5000000.0,10000000.0,0.28,0.038,773,377558.0,105716.0
2023,"$10,000,000 or more",10000000.0,inf,0.0,0.038,2886,221626.0,0.0
2023,"$10,000,000 or more",10000000.0,inf,0.15,0.038,4185,1559270.0,233891.0
2023,"$10,000,000 or more",10000000.0,inf,0.2,0.038,28599,359537502.0,71907500.0
2023,"$10,000,000 or more",10000000.0,inf,0.25,0.038,4900,2688539.0,672135.0
2023,"$10,000,000 or more",10000000.0,inf,0.28,0.038,736,1020786.0,285820.0
