# CBO's own STATUTORY TAX PARAMETER SCHEDULE, by calendar year, by vintage.
#
# Generated by scripts/fetch_cbo_tax_parameters.py. Do not hand-edit: rerun the
# script, which verifies each source file's SHA-256 against a pinned commit and
# re-checks the statutory identities before writing anything.
#
# Source of record: https://github.com/US-CBO/cbo-data at commit 284a95665f9f2f74ed1f482feb629b43fce323da (2026-06-12),
# file data/budget/tax_parameters/annual_cy_<edition>.csv, one edition per
# vintage. CBO publication 53724, "Tax Parameters and Effective Marginal Tax
# Rates". Public domain (17 U.S.C. 105).
#
# Transcribed VERBATIM - every variable CBO publishes, not a subset - so that
# the relationship between this file and the upstream one is checkable rather
# than asserted. Most of these series are wired to nothing today; see
# fiscal_model/cbo_tax_parameters.py for what reads which.
#
# Per-vintage provenance, including which vintages are an exact edition match
# and which are not, is in PROVENANCE.csv beside this file.
vintage,calendar_year,variable,value
cbo_feb_2024,2030,tp_bracket_1_mfj,0.0
cbo_feb_2024,2031,tp_bracket_1_mfj,0.0
cbo_feb_2024,2032,tp_bracket_1_mfj,0.0
cbo_feb_2024,2033,tp_bracket_1_mfj,0.0
cbo_feb_2024,2034,tp_bracket_1_mfj,0.0
cbo_feb_2024,2021,tp_bracket_1_mfs,0.0
cbo_feb_2024,2022,tp_bracket_1_mfs,0.0
cbo_feb_2024,2023,tp_bracket_1_mfs,0.0
cbo_feb_2024,2024,tp_bracket_1_mfs,0.0
cbo_feb_2024,2025,tp_bracket_1_mfs,0.0
cbo_feb_2024,2026,tp_bracket_1_mfs,0.0
cbo_feb_2024,2027,tp_bracket_1_mfs,0.0
cbo_feb_2024,2028,tp_bracket_1_mfs,0.0
cbo_feb_2024,2029,tp_bracket_1_mfs,0.0
cbo_feb_2024,2030,tp_bracket_1_mfs,0.0
cbo_feb_2024,2031,tp_bracket_1_mfs,0.0
cbo_feb_2024,2032,tp_bracket_1_mfs,0.0
cbo_feb_2024,2033,tp_bracket_1_mfs,0.0
cbo_feb_2024,2034,tp_bracket_1_mfs,0.0
cbo_feb_2024,2021,tp_bracket_1_single,0.0
cbo_feb_2024,2022,tp_bracket_1_single,0.0
cbo_feb_2024,2023,tp_bracket_1_single,0.0
cbo_feb_2024,2024,tp_bracket_1_single,0.0
cbo_feb_2024,2025,tp_bracket_1_single,0.0
cbo_feb_2024,2026,tp_bracket_1_single,0.0
cbo_feb_2024,2027,tp_bracket_1_single,0.0
cbo_feb_2024,2028,tp_bracket_1_single,0.0
cbo_feb_2024,2029,tp_bracket_1_single,0.0
cbo_feb_2024,2030,tp_bracket_1_single,0.0
cbo_feb_2024,2031,tp_bracket_1_single,0.0
cbo_feb_2024,2032,tp_bracket_1_single,0.0
cbo_feb_2024,2033,tp_bracket_1_single,0.0
cbo_feb_2024,2034,tp_bracket_1_single,0.0
cbo_feb_2024,2021,tp_bracket_2_hoh,14200.0
cbo_feb_2024,2022,tp_bracket_2_hoh,14650.0
cbo_feb_2024,2023,tp_bracket_2_hoh,15700.0
cbo_feb_2024,2024,tp_bracket_2_hoh,16550.0
cbo_feb_2024,2025,tp_bracket_2_hoh,17050.0
cbo_feb_2024,2026,tp_bracket_2_hoh,17450.0
cbo_feb_2024,2027,tp_bracket_2_hoh,17800.0
cbo_feb_2024,2028,tp_bracket_2_hoh,18100.0
cbo_feb_2024,2029,tp_bracket_2_hoh,18450.0
cbo_feb_2024,2030,tp_bracket_2_hoh,18850.0
cbo_feb_2024,2031,tp_bracket_2_hoh,19200.0
cbo_feb_2024,2032,tp_bracket_2_hoh,19600.0
cbo_feb_2024,2033,tp_bracket_2_hoh,20000.0
cbo_feb_2024,2034,tp_bracket_2_hoh,20400.0
cbo_feb_2024,2021,tp_bracket_2_mfj,19900.0
cbo_feb_2024,2022,tp_bracket_2_mfj,20550.0
cbo_feb_2024,2023,tp_bracket_2_mfj,22000.0
cbo_feb_2024,2024,tp_bracket_2_mfj,23200.0
cbo_feb_2024,2025,tp_bracket_2_mfj,23900.0
cbo_feb_2024,2026,tp_bracket_2_mfj,24400.0
cbo_feb_2024,2027,tp_bracket_2_mfj,24900.0
cbo_feb_2024,2028,tp_bracket_2_mfj,25400.0
cbo_feb_2024,2029,tp_bracket_2_mfj,25850.0
cbo_feb_2024,2030,tp_bracket_2_mfj,26400.0
cbo_feb_2024,2031,tp_bracket_2_mfj,26900.0
cbo_feb_2024,2032,tp_bracket_2_mfj,27450.0
cbo_feb_2024,2033,tp_bracket_2_mfj,28000.0
cbo_feb_2024,2034,tp_bracket_2_mfj,28550.0
cbo_feb_2024,2021,tp_bracket_2_mfs,9950.0
cbo_feb_2024,2022,tp_bracket_2_mfs,10275.0
cbo_feb_2024,2023,tp_bracket_2_mfs,11000.0
cbo_feb_2024,2024,tp_bracket_2_mfs,11600.0
cbo_feb_2024,2025,tp_bracket_2_mfs,11950.0
cbo_feb_2024,2026,tp_bracket_2_mfs,12200.0
cbo_feb_2024,2027,tp_bracket_2_mfs,12450.0
cbo_feb_2024,2028,tp_bracket_2_mfs,12700.0
cbo_feb_2024,2029,tp_bracket_2_mfs,12925.0
cbo_feb_2024,2030,tp_bracket_2_mfs,13200.0
cbo_feb_2024,2031,tp_bracket_2_mfs,13450.0
cbo_feb_2024,2032,tp_bracket_2_mfs,13725.0
cbo_feb_2024,2033,tp_bracket_2_mfs,14000.0
cbo_feb_2024,2034,tp_bracket_2_mfs,14275.0
cbo_feb_2024,2021,tp_bracket_2_single,9950.0
cbo_feb_2024,2022,tp_bracket_2_single,10275.0
cbo_feb_2024,2023,tp_bracket_2_single,11000.0
cbo_feb_2024,2024,tp_bracket_2_single,11600.0
cbo_feb_2024,2025,tp_bracket_2_single,11950.0
cbo_feb_2024,2026,tp_bracket_2_single,12200.0
cbo_feb_2024,2027,tp_bracket_2_single,12450.0
cbo_feb_2024,2028,tp_bracket_2_single,12700.0
cbo_feb_2024,2029,tp_bracket_2_single,12925.0
cbo_feb_2024,2030,tp_bracket_2_single,13200.0
cbo_feb_2024,2031,tp_bracket_2_single,13450.0
cbo_feb_2024,2032,tp_bracket_2_single,13725.0
cbo_feb_2024,2033,tp_bracket_2_single,14000.0
cbo_feb_2024,2034,tp_bracket_2_single,14275.0
cbo_feb_2024,2021,tp_bracket_3_hoh,54200.0
cbo_feb_2024,2022,tp_bracket_3_hoh,55900.0
cbo_feb_2024,2023,tp_bracket_3_hoh,59850.0
cbo_feb_2024,2024,tp_bracket_3_hoh,63100.0
cbo_feb_2024,2025,tp_bracket_3_hoh,65050.0
cbo_feb_2024,2026,tp_bracket_3_hoh,66400.0
cbo_feb_2024,2027,tp_bracket_3_hoh,67750.0
cbo_feb_2024,2028,tp_bracket_3_hoh,69050.0
cbo_feb_2024,2029,tp_bracket_3_hoh,70400.0
cbo_feb_2024,2030,tp_bracket_3_hoh,71750.0
cbo_feb_2024,2031,tp_bracket_3_hoh,73200.0
cbo_feb_2024,2032,tp_bracket_3_hoh,74650.0
cbo_feb_2024,2033,tp_bracket_3_hoh,76150.0
cbo_feb_2024,2034,tp_bracket_3_hoh,77650.0
cbo_feb_2024,2021,tp_bracket_3_mfj,81050.0
cbo_feb_2024,2022,tp_bracket_3_mfj,83550.0
cbo_feb_2024,2023,tp_bracket_3_mfj,89450.0
cbo_feb_2024,2024,tp_bracket_3_mfj,94300.0
cbo_feb_2024,2025,tp_bracket_3_mfj,97250.0
cbo_feb_2024,2026,tp_bracket_3_mfj,99200.0
cbo_feb_2024,2027,tp_bracket_3_mfj,101200.0
cbo_feb_2024,2028,tp_bracket_3_mfj,103100.0
cbo_feb_2024,2029,tp_bracket_3_mfj,105100.0
cbo_feb_2024,2030,tp_bracket_3_mfj,107200.0
cbo_feb_2024,2031,tp_bracket_3_mfj,109300.0
cbo_feb_2024,2032,tp_bracket_3_mfj,111500.0
cbo_feb_2024,2033,tp_bracket_3_mfj,113700.0
cbo_feb_2024,2034,tp_bracket_3_mfj,116000.0
cbo_feb_2024,2021,tp_bracket_3_mfs,40525.0
cbo_feb_2024,2022,tp_bracket_3_mfs,41775.0
cbo_feb_2024,2023,tp_bracket_3_mfs,44725.0
cbo_feb_2024,2024,tp_bracket_3_mfs,47150.0
cbo_feb_2024,2025,tp_bracket_3_mfs,48625.0
cbo_feb_2024,2026,tp_bracket_3_mfs,49600.0
